,accuracy,f1,auc,stat_parity,tpr,fpr,d_acc,d_f1,d_auc,llm
norag,0.4576271186440678,0.627906976744186,0.5,0.0,0.0,0.0,0.4421052631578948,0.4772727272727273,0.0,llama7b
1.0,0.5932203389830508,0.6923076923076923,0.625,-0.044736842105263186,0.0,-0.25,0.4868421052631579,0.5275862068965518,0.125,llama7b
0.8,0.5932203389830508,0.6923076923076923,0.625,0.03289473684210531,0.0,-0.125,0.40921052631578947,0.49776984834968785,0.0625,llama7b
0.6,0.5932203389830508,0.6923076923076923,0.625,0.03289473684210531,0.0,-0.125,0.40921052631578947,0.49776984834968785,0.0625,llama7b
0.4,0.6101694915254238,0.7012987012987013,0.640625,0.007894736842105288,0.0,-0.1875,0.4342105263157895,0.5117967332123412,0.09375,llama7b
0.2,0.6271186440677966,0.7105263157894737,0.65625,0.06052631578947365,0.0,-0.125,0.3815789473684211,0.4942528735632184,0.0625,llama7b
0.0,0.6101694915254238,0.7012987012987013,0.640625,0.08552631578947367,0.0,-0.0625,0.35657894736842105,0.48022598870056504,0.03125,llama7b
norag,0.4915254237288136,0.6428571428571429,0.53125,0.10526315789473684,0.0,0.125,0.3368421052631579,0.45,-0.0625,llama13b
1.0,0.7457627118644068,0.7540983606557377,0.7540509259259258,0.3065789473684211,-0.16666666666666663,0.1875,-0.06447368421052635,0.1843137254901961,-0.17708333333333326,llama13b
0.8,0.7796610169491526,0.7868852459016393,0.7881944444444444,0.38421052631578945,-0.125,0.25,-0.09210526315789469,0.14102564102564108,-0.1875,llama13b
0.6,0.7966101694915254,0.8,0.8038194444444444,0.35921052631578954,-0.125,0.1875,-0.06710526315789467,0.1568627450980392,-0.15625,llama13b
0.4,0.7796610169491526,0.7936507936507936,0.791087962962963,0.35657894736842105,-0.08333333333333337,0.1875,-0.014473684210526305,0.23018867924528308,-0.13541666666666674,llama13b
0.2,0.847457627118644,0.8363636363636363,0.8478009259259259,0.31184210526315786,-0.16666666666666663,0.0625,-0.06973684210526321,0.10106382978723405,-0.11458333333333326,llama13b
0.0,0.7627118644067796,0.7586206896551724,0.7667824074074074,0.4644736842105265,0.16666666666666674,0.3125,-0.11710526315789471,0.21288515406162467,-0.07291666666666652,llama13b
norag,0.7627118644067796,0.75,0.7638888888888888,0.25921052631578945,-0.25,0.125,-0.11710526315789471,0.099290780141844,-0.1875,gpt4omini
1.0,0.8135593220338984,0.8070175438596491,0.8165509259259259,0.3618421052631579,-0.16666666666666663,0.1875,-0.11973684210526314,0.06632653061224492,-0.17708333333333326,gpt4omini
0.8,0.847457627118644,0.8363636363636363,0.8478009259259259,0.31184210526315786,-0.16666666666666663,0.0625,-0.06973684210526321,0.10106382978723405,-0.11458333333333326,gpt4omini
0.6,0.8305084745762712,0.8148148148148148,0.8292824074074074,0.3644736842105264,-0.20833333333333337,0.1875,-0.17236842105263162,-0.04863221884498481,-0.19791666666666663,gpt4omini
0.4,0.8135593220338984,0.8,0.8136574074074074,0.31184210526315786,-0.20833333333333337,0.125,-0.11973684210526314,0.058510638297872286,-0.16666666666666663,gpt4omini
0.2,0.7966101694915254,0.7857142857142857,0.7980324074074074,0.3368421052631579,-0.20833333333333337,0.1875,-0.14473684210526316,0.04166666666666663,-0.19791666666666674,gpt4omini
0.0,0.7457627118644068,0.7457627118644068,0.7511574074074073,0.3342105263157895,-0.20833333333333337,0.25,-0.14210526315789473,0.09333333333333338,-0.22916666666666674,gpt4omini
norag,0.7966101694915254,0.8,0.8038194444444444,0.2815789473684211,-0.125,0.0625,0.010526315789473717,0.24,-0.09375,gpt4o
1.0,0.8305084745762712,0.8214285714285714,0.8321759259259258,0.18157894736842112,-0.16666666666666663,-0.125,0.06052631578947365,0.26956521739130435,-0.02083333333333326,gpt4o
0.8,0.8813559322033898,0.8727272727272727,0.8819444444444444,0.31184210526315786,-0.125,0.0,-0.019736842105263164,0.1436170212765957,-0.0625,gpt4o
0.6,0.847457627118644,0.847457627118644,0.853587962962963,0.3342105263157895,-0.08333333333333337,0.0625,0.007894736842105288,0.21333333333333337,-0.07291666666666663,gpt4o
0.4,0.8983050847457628,0.8888888888888888,0.8975694444444444,0.28684210526315795,-0.125,-0.0625,0.0052631578947368585,0.16304347826086962,-0.03125,gpt4o
0.2,0.7966101694915254,0.8,0.8038194444444444,0.35921052631578954,-0.125,0.1875,-0.06710526315789467,0.1568627450980392,-0.15625,gpt4o
0.0,0.864406779661017,0.8666666666666667,0.8721064814814814,0.35921052631578954,-0.04166666666666663,0.0625,0.03289473684210531,0.235294117647059,-0.05208333333333337,gpt4o
